Company,Origin_Node,Destination_Node,Connection_Type,Launch_Year,Orbit_Tier,Latency_ms,Energy_Footprint_MW,AI_Integration_Level,Investment_Billion
SpaceX Starlink,Brownsville TX Launch Hub,Orbital Mesh Alpha,Satellite Backbone,2026,LEO,35,580,5,14.8
Microsoft Azure Space,Dallas Cloud Zone,Orbital Node A,Cloud-to-Orbit,2028,MEO,45,620,5,6
Amazon Kuiper,Laredo Data Zone,Orbit Link South,Satellite Network,2027,LEO,48,540,4,4.4
Tesla Energy,Austin Battery Grid,Orbital Node B,Power Infrastructure,2029,GEO,52,850,4,8.5
Lockheed Martin,Fort Worth Aerospace Yard,OrbitLink Defense,Aerospace Network,2028,MEO,40,720,4,9.3
Dell Technologies,Round Rock AI Center,Orbital Node C,Data Infrastructure,2030,GEO,60,290,3,2.9
Blue Origin,West Texas Site One,Orbital Node D,Space Infrastructure,2026,LEO,42,620,3,6.2
Oracle Cloud,Austin TX Data Hub,Orbital Data Ring,Cloud Infrastructure,2028,MEO,47,480,4,5.9
Nvidia,Dallas AI Zone,Orbital Compute Core,AI Hardware Integration,2027,LEO,36,570,5,5.7
Meta Data Center,Fort Worth TX Facility,Orbital Node E,Cloud-to-Orbit,2030,GEO,65,400,4,3.2
Google Cloud,Houston AI Core,Orbital Node F,Cloud-to-Orbit,2029,MEO,50,600,5,6.8
IBM Cloud,Austin AI Zone,Orbital Node G,Hybrid AI Link,2028,LEO,44,520,4,3.6
NASA JSC,Houston Space Center,Orbital Command Layer,Space Research Network,2026,GEO,39,1010,3,10.1
AT&T Network Core,Dallas Comm Hub,Orbital Node H,Communication Link,2027,MEO,46,410,3,2.4
AWS,San Antonio TX Region,Orbit Data Grid,Cloud Network,2029,GEO,49,580,5,7.4
Raytheon Technologies,McKinney TX Facility,Orbital Defense Mesh,Aerospace Network,2028,MEO,41,750,4,8.2
NRG Energy,Houston TX Power Plant,Orbit Power Relay,Energy Infrastructure,2029,GEO,54,860,4,4.9
Hewlett Packard Enterprise,Houston Tech Campus,Orbital Compute Node,Cloud Infrastructure,2028,MEO,53,620,4,3.5
ExxonMobil,Baytown Energy Hub,Orbit Power Relay,Energy Infrastructure,2030,GEO,59,910,3,9
Intel,Austin Semiconductor Lab,Orbital Compute Core,AI Hardware Integration,2029,LEO,38,680,5,5.1
